City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,ribeira grande,PT,38.5167,-28.7,68.5,83,14,5.14,few clouds,0.0,0
72,otaru,JP,43.1894,141.0022,78.64,89,100,8.32,light rain,0.32,0
73,pangai,TO,-19.8,-174.35,82.51,74,20,14.97,few clouds,0.0,0
74,torbay,CA,47.6666,-52.7314,60.53,65,75,16.11,broken clouds,0.0,0
75,alta floresta,BR,-9.8756,-56.0861,71.64,47,71,2.91,broken clouds,0.0,0
76,saldanha,ZA,-33.0117,17.9442,53.65,85,16,7.63,few clouds,0.0,0
77,poum,NC,-20.2333,164.0167,74.37,72,92,6.24,overcast clouds,0.0,0
78,gamba,GA,-2.65,10.0,68.05,94,100,4.83,overcast clouds,0.0,0
79,burnie,AU,-41.0667,145.9167,51.37,79,91,3.44,overcast clouds,0.0,0
80,geraldton,AU,-28.7667,114.6,54.01,76,0,8.05,clear sky,0.0,0
81,cape town,ZA,-33.9258,18.4232,54.12,92,75,9.22,broken clouds,0.0,0
82,namatanai,PG,-3.6667,152.4333,85.57,66,32,9.17,scattered clouds,0.0,0
83,tual,ID,-5.6667,132.75,79.3,79,100,17.78,overcast clouds,0.0,0
84,new norfolk,AU,-42.7826,147.0587,53.92,65,35,1.32,scattered clouds,0.0,0
85,edson,CA,53.5835,-116.4356,80.74,26,20,6.91,few clouds,0.0,0
86,longyearbyen,SJ,78.2186,15.6401,48.04,76,75,13.8,light intensity drizzle,0.0,0
87,ponta do sol,PT,32.6667,-17.1,69.71,70,17,5.32,few clouds,0.0,0
88,porto novo,BJ,6.4965,2.6036,78.62,89,97,6.58,light rain,0.18,0
89,iqaluit,CA,63.7506,-68.5145,60.53,48,75,13.8,broken clouds,0.0,0
90,busselton,AU,-33.65,115.3333,59.59,77,82,11.14,broken clouds,0.0,0
91,hermanus,ZA,-34.4187,19.2345,53.8,79,0,6.71,clear sky,0.0,0
92,bereda,ES,43.2686,-7.5406,67.57,100,0,3.36,clear sky,0.0,0
93,cidreira,BR,-30.1811,-50.2056,60.73,91,100,20.89,heavy intensity rain,5.9,0
94,tessalit,ML,20.1986,1.0114,90.79,25,36,11.05,scattered clouds,0.0,0
95,sambhar,IN,26.9167,75.2,87.85,59,80,5.41,broken clouds,0.0,0
96,salina,US,38.8403,-97.6114,82.53,51,0,13.8,clear sky,0.0,0
97,thompson,CA,55.7435,-97.8558,62.76,77,75,5.75,broken clouds,0.0,0
98,esperance,AU,-33.8667,121.9,57.65,61,0,17.94,clear sky,0.0,0
99,launceston,AU,-41.45,147.1667,53.35,94,100,4.61,overcast clouds,0.0,0
100,montrose,US,38.4166,-108.2673,83.61,26,24,10.87,few clouds,0.0,0
101,tasiilaq,GL,65.6145,-37.6368,46.56,74,100,2.95,overcast clouds,0.0,0
102,barrow,US,71.2906,-156.7887,37.42,87,100,11.5,overcast clouds,0.0,0
103,bumba,CD,2.1833,22.4667,71.15,94,85,2.57,overcast clouds,0.0,0
104,kupang,ID,-10.1667,123.5833,80.82,56,64,15.75,broken clouds,0.0,0
105,liberty,US,31.8335,-81.5004,76.26,94,40,4.61,light rain,0.35,0
106,bandarbeyla,SO,9.4942,50.8122,79.32,63,41,22.28,scattered clouds,0.0,0
107,kyaikkami,MM,16.08,97.5675,78.13,89,100,7.05,overcast clouds,0.0,0
108,nikolskoye,RU,59.7035,30.7861,64.29,99,91,6.35,overcast clouds,0.0,0
109,sao joao da barra,BR,-21.6403,-41.0511,72.07,87,0,22.32,clear sky,0.0,0
110,carnarvon,AU,-24.8667,113.6333,67.24,51,0,7.9,clear sky,0.0,0
111,chateauroux,FR,46.8167,1.7,62.6,77,0,6.91,clear sky,0.0,0
112,gemena,CD,3.25,19.7667,69.24,98,98,1.86,overcast clouds,0.0,0
113,tornio,FI,65.8481,24.1466,51.82,89,81,4.34,broken clouds,0.0,0
114,nalut,LY,30.3333,10.85,78.57,43,0,13.56,clear sky,0.0,0
115,salalah,OM,17.0151,54.0924,77.09,94,100,9.22,light intensity drizzle,0.0,0
116,gojra,PK,31.1487,72.6866,91.29,54,4,3.04,clear sky,0.0,0
117,vao,NC,-22.6667,167.4833,69.35,61,0,7.09,clear sky,0.0,0
118,hithadhoo,MV,-0.6,73.0833,82.31,74,55,8.48,broken clouds,0.0,0
119,wyndham,US,37.6985,-77.6125,74.98,80,0,0.0,clear sky,0.0,0
120,kamaishi,JP,39.2667,141.8833,77.47,80,100,6.31,overcast clouds,0.0,0
121,cabo san lucas,MX,22.8909,-109.9124,87.62,65,42,12.26,scattered clouds,0.0,0
122,aklavik,CA,68.2191,-135.0107,65.62,60,22,18.03,light rain,0.66,0
123,hofn,IS,64.2539,-15.2082,52.81,82,100,13.44,overcast clouds,0.0,0
124,margate,GB,51.3813,1.3862,67.3,91,100,1.01,overcast clouds,0.0,0
125,soyo,AO,-6.1349,12.3689,70.27,90,92,8.08,overcast clouds,0.0,0
126,hilo,US,19.7297,-155.09,85.28,70,40,12.66,scattered clouds,0.0,0
127,plettenberg bay,ZA,-34.0527,23.3716,54.34,69,1,5.01,clear sky,0.0,0
128,bilibino,RU,68.0546,166.4372,73.42,39,100,4.23,overcast clouds,0.0,0
129,yellowknife,CA,62.456,-114.3525,73.92,49,40,11.5,scattered clouds,0.0,0
130,neiafu,TO,-18.65,-173.9833,83.08,74,40,16.11,scattered clouds,0.0,0
131,atuona,PF,-9.8,-139.0333,77.43,75,18,16.67,few clouds,0.0,0
132,redding,US,40.5865,-122.3917,109.65,13,0,6.91,clear sky,0.0,0
133,floro,NO,61.5996,5.0328,62.56,94,100,11.5,overcast clouds,0.0,0
134,mersing,MY,2.4312,103.8405,76.91,94,40,8.05,scattered clouds,0.0,0
135,bathsheba,BB,13.2167,-59.5167,83.01,90,75,21.85,broken clouds,0.0,0
136,waterloo,CA,43.4668,-80.5164,75.69,83,100,11.5,overcast clouds,0.0,0
137,maceio,BR,-9.6658,-35.7353,71.04,94,40,3.44,scattered clouds,0.0,0
138,alice springs,AU,-23.7,133.8833,58.55,44,0,16.11,clear sky,0.0,0
139,santo antonio do ica,BR,-3.1022,-67.9397,77.79,81,100,2.42,overcast clouds,0.0,0
140,mount isa,AU,-20.7333,139.5,60.57,25,25,14.97,scattered clouds,0.0,0
141,podgornoye,RU,51.735,39.1496,64.62,100,75,6.71,broken clouds,0.0,0
